51.105.104.217	onedrive.com
199.59.148.147	onedrive.live.com
40.126.35.85	login.live.com
52.231.186.36	g.live.com
2.18.64.212	spoprod-a.akamaihd.net
20.101.246.164	p.sfx.ms
23.218.209.43	oneclient.sfx.ms
216.239.32.29	fabric.io
104.208.16.91	vortex.data.microsoft.com
52.18.226.149	vas.samsungapps.com
52.109.52.84	odc.officeapps.live.com
40.126.35.80	login.windows.net
40.126.35.21	login.microsoftonline.com
40.90.130.197	storage.live.com
23.214.134.201	favorites.live.com
20.23.132.210	oauth.live.com
20.23.132.210	photos.live.com
20.4.194.241	skydrive.live.com
20.241.67.65	api.live.net
13.107.42.12	apis.live.net
13.107.42.12	docs.live.net
13.107.42.12	settings.live.net
40.90.130.197	skyapi.live.net
13.107.42.12	storage.msn.com
